adID	Title	Location	AdPriority	Cost	Pictures	AdDuration	AdURL	Call	Email	Area	Bathrooms	Bedrooms
61	120 Sq Yd 1unit House For Sale Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13500000	17	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_1unit_house_for_sale_saima_arabian_villas-42337963-8856-1.html	TRUE	TRUE	120	2	2
62	160 square Yards Corner West Open Bungalow is Available For Sale In Saima Arabian villas	"Saima Arabian Villas, Gadap Town"	Normal	16400000	26	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_square_yards_corner_west_open_bungalow_is_available_for_sale_in_saima_arabian_villas-42338526-8856-1.html	TRUE	TRUE	160	3	3
63	120 Sq. yd brand New villa for Sale In Saima Arabian villas	"Saima Arabian Villas, Gadap Town"	Normal	16500000	11	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_brand_new_villa_for_sale_in_saima_arabian_villas-41374457-8856-1.html	TRUE	TRUE	120	4	4
64	"Block E 160 Square Yards Single Story Well
 Furnished
 Bungalow Is Available For Sale In Saima Arabian Villas
."	"Saima Arabian Villas, Gadap Town"	Normal	14700000	11	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_e_160_square_yards_single_story_well__furnished__bungalow_is_available_for_sale_in_saima_arabian_villas__-41299514-8856-1.html	TRUE	TRUE	191	3	3
65	Prime Location Flat Of 700 Square Feet In Saima Arabian Villas Is Available	"Saima Arabian Villas, Gadap Town"	Normal	5200000	10	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_flat_of_700_square_feet_in_saima_arabian_villas_is_available-41842530-8856-1.html	TRUE	TRUE	78	2	2
66	Book A Prime Location 700 Square Feet Flat In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5300000	10	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_book_a_prime_location_700_square_feet_flat_in_saima_arabian_villas-41842527-8856-1.html	TRUE	TRUE	78	2	2
67	160 Square Yards House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14400001	6	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_square_yards_house_available_for_sale_in_saima_arabian_villas-38331883-8856-1.html	TRUE	TRUE	160	3	3
68	Ideally Located Prime Location House For sale In Saima Arabian Villas Available	"Saima Arabian Villas, Gadap Town"	Normal	13500000	6	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_ideally_located_prime_location_house_for_sale_in_saima_arabian_villas_available-41602765-8856-1.html	TRUE	TRUE	120	2	2
69	Block A 160 SQ Yard Near To Park Near To Mosque House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14700000	6	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_a_160_sq_yard_near_to_park_near_to_mosque_house_available_for_sale_in_saima_arabian_villas-38331884-8856-1.html	TRUE	TRUE	120	3	3
70	Block B 240 SQ Yard 100 Feet Road Luxury Furnished Bungalow Is Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	22500000	9	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_b_240_sq_yard_100_feet_road_luxury_furnished_bungalow_is_available_for_sale_in_saima_arabian_villas-38331887-8856-1.html	TRUE	TRUE	240	3	3
71	Prime Location Flat For sale In Beautiful Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5200000	5	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_flat_for_sale_in_beautiful_saima_arabian_villas-41842529-8856-1.html	TRUE	TRUE	78	2	2
72	Your Dream 1080 Square Feet House Is Available In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	17800000	26	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_your_dream_1080_square_feet_house_is_available_in_saima_arabian_villas-42098224-8856-1.html	TRUE	TRUE	120	4	4
73	Prime Location 240 Square Yards House Is Available For sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	21500000	13	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_240_square_yards_house_is_available_for_sale_in_saima_arabian_villas-41602768-8856-1.html	TRUE	TRUE	240	3	3
74	Block D 160 SQ Yard West Open 100 Feet Road single Story Luxury Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	16800000	14	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_d_160_sq_yard_west_open_100_feet_road_single_story_luxury_bungalow_available_for_sale_in_saima_arabian_villas-38331871-8856-1.html	TRUE	TRUE	160	3	3
75	Block E West Open Furnished Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12600000	5	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_e_west_open_furnished_bungalow_available_for_sale_in_saima_arabian_villas-38331880-8856-1.html	TRUE	TRUE	120	2	2
76	Block B Ground Plus 1 Luxury Furnished Bungalow Is Available For Sale In Saima Arabian VIillas	"Saima Arabian Villas, Gadap Town"	Normal	15599999	16	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_b_ground_plus_1_luxury_furnished_bungalow_is_available_for_sale_in_saima_arabian_viillas-38331881-8856-1.html	TRUE	TRUE	120	4	4
77	Block B 120 SQ Yard West Open Luxury Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	16500000	27	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_b_120_sq_yard_west_open_luxury_bungalow_available_for_sale_in_saima_arabian_villas-38331878-8856-1.html	TRUE	TRUE	120	4	4
78	120 SQ Yard block E Bungalow Is Available For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	12500000	14	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yard_block_e_bungalow_is_available_for_sale_in_saima_arabian_villas_-38331886-8856-1.html	TRUE	TRUE	120	2	2
79	"120 Square Yards Well
 Furnished
 Luxury Bungalow Is Available For Sale In Saima Arabian Villas."	"Saima Arabian Villas, Gadap Town"	Normal	13200001	13	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_square_yards_well__furnished__luxury_bungalow_is_available_for_sale_in_saima_arabian_villas_-38379150-8856-1.html	TRUE	TRUE	120	2	2
80	Block C 240 SQ Yard West Open Luxury Furnished Bungalow Is Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	23500000	39	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_c_240_sq_yard_west_open_luxury_furnished_bungalow_is_available_for_sale_in_saima_arabian_villas-38331891-8856-1.html	TRUE	TRUE	240	3	3
81	Double Storey 6 Bedroom Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	17500000	11	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_double_storey_6_bedroom_saima_arabian_villas-41689143-8856-1.html	TRUE	TRUE	160	6	6
82	Prime Location 120 Square Yards House In Saima Arabian Villas Best Option	"Saima Arabian Villas, Gadap Town"	Normal	16500000	15	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_120_square_yards_house_in_saima_arabian_villas_best_option-41064589-8856-1.html	TRUE	TRUE	120		
83	Single Storey House Available For Sale In Saima Arabian Villas Block C	"Saima Arabian Villas, Gadap Town"	Normal	23000000	27	1 month ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_single_storey_house_available_for_sale_in_saima_arabian_villas_block_c-41728986-8856-1.html	TRUE	TRUE	240	3	3
84	1080 Square Feet House In Saima Arabian Villas For Sale	"Saima Arabian Villas, Gadap Town"	Normal	15500000	28	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_1080_square_feet_house_in_saima_arabian_villas_for_sale-37538111-8856-1.html	TRUE	TRUE	120	6	4
85	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14200000	5	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-42006508-8856-1.html	TRUE	TRUE	160		
86	Two Bed Lounge Corner Flat Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	5700000	11	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_two_bed_lounge_corner_flat_available_for_sale-41295299-8856-1.html	TRUE	TRUE	83	2	2
87	120 Sq Yd Single Storey For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	12500000	4	1 day ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_single_storey_for_sale_in_saima_arabian_villas_-35753293-8856-1.html	TRUE	TRUE	120	2	2
88	160 Sq Yds Banglow For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14500000	4	1 day ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sq_yds_banglow_for_sale_in_saima_arabian_villas-35753306-8856-1.html	TRUE	TRUE	160	3	3
89	North Town Residency Phase 1	"Saima Arabian Villas, Gadap Town"	Normal	2600000	2	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_north_town_residency_phase_1-42069282-8856-1.html	TRUE	TRUE	46	1	
